ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone? (optional)
1,5/27/21 15:07:30,5/27/21 15:20:21,anonymous,,Male,29,Graduate Student,Covid,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,"Schedule (Bus, event calendar, time sheet, etc.)",Easy,Use your phone anyway,Hard to tell what text is in what column;Table is too wide or too tall for screen;hard to find specific items;,"1 - option to freeze headers
2 - option to hide./show rows/columns "
2,5/27/21 18:47:24,5/27/21 19:01:08,anonymous,,Female,25,Graduate Student,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Locate specific information;Copy/paste text from the table;,"Schedule (Bus, event calendar, time sheet, etc.)",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,Collapsible columns/rows?
3,6/3/21 20:11:55,6/3/21 20:13:48,anonymous,,Male,24,Graduate Degree,Restaurant Menu,In the last day,Once,Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,I'm not sure that much else can be done
4,6/9/21 12:49:24,6/9/21 12:50:39,anonymous,,Male,31,Graduate Degree,Restaurant Menu,In the last week,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Can’t see all the information I need at the same time;Hard to tell what text is in what column;,
5,6/9/21 12:51:04,6/9/21 12:53:31,anonymous,,Male,24,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,Once,Locate specific information;Analyze/compare rows or columns;,"Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;Product Specifications;",Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,
6,6/9/21 12:57:07,6/9/21 12:58:55,anonymous,,Female,29,Graduate Degree,Restaurant Menu,In the last week,Never,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,
7,6/9/21 13:17:44,6/9/21 13:19:09,anonymous,,Male,20,Undergraduate Student,Episode list,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,
8,6/9/21 13:20:57,6/9/21 13:22:51,anonymous,,Male,26,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;,"Finance / Money / Receipt / Invoice;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,
9,6/9/21 13:36:58,6/9/21 13:48:32,anonymous,,Male,29,Graduate Student,official document,In the last month,Never,Locate specific information;,"Product Specifications;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,Resize the table width and text size to adjust for the screen
10,6/9/21 14:36:36,6/9/21 14:39:37,anonymous,,Male,21,Undergraduate Student,gym workout schedule,In the last day,More than once,Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);Gym workout;",Easy,Use your phone anyway,Can’t see all the information I need at the same time;,"Preset zooms/views. Instead of pinching and scrolling, just click a button where it autocenters what I need to see at a good zoom level"
11,6/9/21 14:37:59,6/9/21 14:40:23,anonymous,,Female,21,Undergraduate Student,Demographics,In the last month,More than once,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Finance / Money / Receipt / Invoice;Demographics/Geography/Course Schedules;,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,
12,6/9/21 14:39:18,6/9/21 14:42:20,anonymous,,Male,22,Undergraduate Student,Product Specifications,In the last week,Never,Locate specific information;,Finance / Money / Receipt / Invoice;Product Specifications;,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"Controls often feel clunky, to zoom in and pan around for specific details. Screen space is an obvious issue, depending on the contents of the table that seems hard to avoid. The ability to shrink columns and cut them short to view more information at once would be nice. For tables of more than a few columns being able to hide or shrink columns would be useful. But the controls would have to not conflict with movement, the worst is accidental actions."
