ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
23,6/9/21 9:59:56,6/9/21 10:01:18,anonymous,,Male,25,Graduate Student,Restaurant Menu,In the last week,Once,Analyze/compare rows or columns;Copy/paste text from the table;Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Give up and not read the table,Can’t see all the information I need at the same time;Text is too small;Text is too close together;,Having dedication columns for information.
24,6/9/21 9:59:57,6/9/21 10:01:53,anonymous,,Male,53,Graduate Degree,Restaurant Menu,In the last week,Never,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;Hard to tell what text is in what row;Can’t see all the information I need at the same time;,"the ability to have it larger, so you can scroll around on it."
25,6/9/21 10:00:42,6/9/21 10:02:32,anonymous,,Male,31,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;Locate specific information;Copy/paste text from the table;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,Proper sizing for a phone screen at all times.
26,6/9/21 10:01:55,6/9/21 10:02:36,anonymous,,Male,26,Graduate Degree,Restaurant Menu,In the last month,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,yes
27,6/9/21 10:00:55,6/9/21 10:02:53,anonymous,,Male,31,Bachelor's Degree,Restaurant Menu,In the last week,Never,Read the entire table word for word;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,Give up and not read the table,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too close together;,The table was designed to scroll vertically instead of horizontally. 
28,6/9/21 10:00:05,6/9/21 10:02:54,anonymous,,Male,29,Undergraduate Student,Finance / Money / Receipt / Invoice,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,If there was a magifying glass option where it magnifies what you are currently looking at.
29,6/9/21 10:01:14,6/9/21 10:02:54,anonymous,,Male,28,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last week,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,Proper UI Scaling to mobile phones.
30,6/9/21 10:00:59,6/9/21 10:02:58,anonymous,,Female,32,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last month,Never,Copy/paste text from the table;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);",A website that has lots of information on it,Easy,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;,Being able to see the whole table at once.
31,6/9/21 10:01:37,6/9/21 10:03:12,anonymous,,Male,40,Bachelor's Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;,BOOKED TABLE
32,6/9/21 10:01:42,6/9/21 10:03:15,anonymous,,Female,27,Bachelor's Degree,Product Specifications,In the last week,More than once,Locate specific information;Copy/paste text from the table;,Product Specifications;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,Print out the table,Text is too small;Text is too close together;Hard to tell what text is in what column;,making the text bigger and separating the columns more to give them a distinct place on the table to make it easier for most people to read and find the information they're looking for.
33,6/9/21 10:00:58,6/9/21 10:03:16,anonymous,,Male,20,High School Diploma or GED,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,Have bigger text and number and a good zoom option.
34,6/9/21 10:00:23,6/9/21 10:03:20,anonymous,,Female,39,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Locate specific information;Read the entire table word for word;,"Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,If the text and table would be optimized for the screen or can be easily swapped to enlarged or decreased.
35,6/9/21 10:01:14,6/9/21 10:03:25,anonymous,,Male,31,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"Either the ability to resize it easily on the phone (be able to zoom in or out more easily, while still maintaining the table's visibility) or a larger phone screen."
36,6/9/21 10:00:39,6/9/21 10:03:26,anonymous,,Female,43,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;,A website that has lots of information on it,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,enlarge
37,6/9/21 10:00:38,6/9/21 10:03:27,anonymous,,Female,49,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,Make the tables themselves smaller. Break them down into more than one table so that they fit on the phone.
38,6/9/21 10:00:56,6/9/21 10:03:29,anonymous,,Female,39,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Give up and not read the table,Can’t see all the information I need at the same time;,"If they were formatted or optimized for phone use. I don't usually have issues reading tables on my phone, but If I do come across an issue, I will generally just not read it and look elsewhere."
39,6/9/21 10:01:49,6/9/21 10:03:30,anonymous,,Female,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,A streamlined version of it that is more mobile compatible.  The table format should be adapted to be viewed more easily on a phone.
