ID,Start time,Completion time,Email,Name,Please enter your Mechanical Turk ID,What is your Age?,What is your gender?,Are you a Fluent English Reader?,Are you a native English speaker?,Have you ever been diagnosed with a reading or learning disability?,"Do you have difficulty seeing text at close distances (1-3ft)?  E.g., do words appear blurry or unfocused?",How often do you read in English for leisure or personal interest?,How often do you read in English for any reason?,"If you had to read a 20 page book chapter, would you find it easier to read it in a digital or paper format? Assume you're at home without distractions and have access to both a comfortable chair ...","If you had to read a 1 page article of only text (no pictures), would you find it easier to read it in a digital or paper format? Assume you're at home without distractions and have access to both...","If you had to read a 1 page article of text with many large images, would you find it easier to read it in a digital or paper format? Assume you're at home without distractions and have access to ...",I am familiar with reading tables.,"Fill in the blank with the statement you agree with most:  
The default font size for text (e.g., in web pages, apps) on my phone is _______.",Reading on my Phone is hard
2,2022-04-12T10:07:03,2022-04-12T10:08:27,anonymous,,1648155338377,32,Man,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Both the same,Digital,Digital,5,Mostly the right size,5
3,2022-04-12T10:07:28,2022-04-12T10:09:32,anonymous,,1648169618617,45,Woman,True,True,No;,"No, because I typically use vision correction for reading",2-3 times a week,Daily or almost daily,Both the same,Both the same,Both the same,4,Mostly the right size,3
4,2022-04-12T10:08:50,2022-04-12T10:09:51,anonymous,,1648164893681,28,Woman,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Digital,Digital,Digital,4,Mostly the right size,5
5,2022-04-12T10:10:40,2022-04-12T10:11:45,anonymous,,1648324621702,40,Prefer not to say,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Paper,Paper,Paper,5,Mostly too small,3
6,2022-04-12T10:10:44,2022-04-12T10:11:59,anonymous,,1648324614166,25,Woman,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Paper,Both the same,Digital,4,Mostly the right size,4
7,2022-04-12T10:12:13,2022-04-12T10:15:17,anonymous,,1646949267825,50,Woman,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Both the same,Both the same,Digital,2,Mostly the right size,3
8,2022-04-12T10:14:20,2022-04-12T10:16:27,anonymous,,A2EHKB8T5FPLPU,34,Man,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Both the same,Both the same,Both the same,3,Mostly the right size,5
9,2022-04-12T10:13:54,2022-04-12T10:16:51,anonymous,,1648131441158,27,Man,True,True,No;,"No, and I don't need vision correction for reading",2-3 times a week,2-3 times a week,Paper,Paper,Digital,4,Mostly the right size,4
10,2022-04-12T10:16:24,2022-04-12T10:18:32,anonymous,,1648132840889 ,56,Woman,True,True,No;,"No, because I typically use vision correction for reading",Daily or almost daily,Daily or almost daily,Both the same,Both the same,Digital,3,Mostly the right size,4
11,2022-04-12T10:17:37,2022-04-12T10:18:36,anonymous,,1648132428819,33,Man,True,True,No;,"No, and I don't need vision correction for reading",Daily or almost daily,Daily or almost daily,Both the same,Digital,Both the same,4,Mostly the right size,4
12,2022-04-12T10:17:21,2022-04-12T10:18:53,anonymous,,1646947918390,33,Man,True,True,No;,"No, and I don't need vision correction for reading",2-3 times a week,Daily or almost daily,Digital,Digital,Digital,4,Mostly the right size,5
13,2022-04-12T10:18:31,2022-04-12T10:19:05,anonymous,,1646945322567,31,Man,True,True,,"No, and I don't need vision correction for reading",1-2 times a month,1-2 times a month,Both the same,Digital,Paper,4,Mostly the right size,3
